source	target	interaction	weight
ABCA1	APOB	interacts_with	0.861
ABCA1	APOC1	interacts_with	0.544
ABCA1	APOE	interacts_with	0.98
ABCA1	APP	interacts_with	0.55
ABCA1	CAV1	interacts_with	0.692
ABCA1	CLU	interacts_with	0.471
ABCA1	LIPG	interacts_with	0.638
ABCA1	NCOR2	interacts_with	0.513
ABCA1	TBL1XR1	interacts_with	0.447
ABCA1	TREM2	interacts_with	0.412
ABCA7	ABI3	interacts_with	0.536
ABCA7	ADAM10	interacts_with	0.644
ABCA7	APOC1	interacts_with	0.401
ABCA7	APOE	interacts_with	0.774
ABCA7	APP	interacts_with	0.697
ABCA7	BIN1	interacts_with	0.824
ABCA7	CASS4	interacts_with	0.727
ABCA7	CD2AP	interacts_with	0.883
ABCA7	CD33	interacts_with	0.767
ABCA7	CLU	interacts_with	0.81
ABCA7	ECHDC3	interacts_with	0.478
ABCA7	EPHA1	interacts_with	0.78
ABCA7	FERMT2	interacts_with	0.67
ABCA7	INPP5D	interacts_with	0.676
ABCA7	MS4A4E	interacts_with	0.823
ABCA7	MS4A6A	interacts_with	0.811
ABCA7	MS4A6E	interacts_with	0.72
ABCA7	PICALM	interacts_with	0.872
ABCA7	PILRA	interacts_with	0.54
ABCA7	PLCG2	interacts_with	0.429
ABCA7	PTK2B	interacts_with	0.638
ABCA7	SLC24A4	interacts_with	0.726
ABCA7	SORL1	interacts_with	0.841
ABCA7	TOMM40	interacts_with	0.507
ABCA7	TREM2	interacts_with	0.775
ABI3	APOE	interacts_with	0.417
ABI3	CD2AP	interacts_with	0.419
ABI3	CD33	interacts_with	0.517
ABI3	ECHDC3	interacts_with	0.441
ABI3	INPP5D	interacts_with	0.631
ABI3	MS4A6A	interacts_with	0.527
ABI3	PICALM	interacts_with	0.467
ABI3	PLCG2	interacts_with	0.67
ABI3	SORL1	interacts_with	0.462
ABI3	TREM2	interacts_with	0.65
ACE	ADAM10	interacts_with	0.458
ACE	APOB	interacts_with	0.743
ACE	APOE	interacts_with	0.876
ACE	APP	interacts_with	0.516
ACE	CAV1	interacts_with	0.468
ACE	CTSB	interacts_with	0.484
ACE	NOX4	interacts_with	0.64
ACE	PLCG2	interacts_with	0.457
ADAM10	APH1B	interacts_with	0.526
ADAM10	APOE	interacts_with	0.733
ADAM10	APP	interacts_with	0.95
ADAM10	CD2AP	interacts_with	0.48
ADAM10	CTSB	interacts_with	0.612
ADAM10	EPHA1	interacts_with	0.839
ADAM10	IL6R	interacts_with	0.436
ADAM10	MMP3	interacts_with	0.476
ADAM10	PICALM	interacts_with	0.637
ADAM10	SORL1	interacts_with	0.493
ADAM10	SPPL2A	interacts_with	0.497
ADAM10	TOMM40	interacts_with	0.607
ADAM10	TREM2	interacts_with	0.527
ADAM10	TSPAN14	interacts_with	0.977
APH1B	APP	interacts_with	0.866
APOB	APOC1	interacts_with	0.996
APOB	APOE	interacts_with	0.999
APOB	APP	interacts_with	0.839
APOB	BIN1	interacts_with	0.552
APOB	CLU	interacts_with	0.865
APOB	LIPG	interacts_with	0.628
APOB	PICALM	interacts_with	0.511
APOC1	APOE	interacts_with	0.999
APOC1	APP	interacts_with	0.802
APOC1	BIN1	interacts_with	0.681
APOC1	CD33	interacts_with	0.56
APOC1	CLU	interacts_with	0.969
APOC1	NECTIN2	interacts_with	0.544
APOC1	TOMM40	interacts_with	0.755
APOC1	TREM2	interacts_with	0.525
APOE	APP	interacts_with	0.999
APOE	BIN1	interacts_with	0.908
APOE	CASS4	interacts_with	0.507
APOE	CAV1	interacts_with	0.801
APOE	CD2AP	interacts_with	0.643
APOE	CD33	interacts_with	0.813
APOE	CLU	interacts_with	0.999
APOE	CTSB	interacts_with	0.699
APOE	EPHA1	interacts_with	0.579
APOE	EPHX2	interacts_with	0.556
APOE	FERMT2	interacts_with	0.484
APOE	GRN	interacts_with	0.575
APOE	INPP5D	interacts_with	0.479
APOE	LIPG	interacts_with	0.542
APOE	MMP3	interacts_with	0.821
APOE	MS4A4E	interacts_with	0.575
APOE	MS4A6A	interacts_with	0.616
APOE	MS4A6E	interacts_with	0.512
APOE	NECTIN2	interacts_with	0.454
APOE	NOX4	interacts_with	0.562
APOE	PICALM	interacts_with	0.773
APOE	PTK2B	interacts_with	0.447
APOE	SLC24A4	interacts_with	0.447
APOE	SORL1	interacts_with	0.997
APOE	TMEM106B	interacts_with	0.6
APOE	TOMM40	interacts_with	0.9
APOE	TREM2	interacts_with	0.997
APP	BIN1	interacts_with	0.834
APP	CASS4	interacts_with	0.434
APP	CAV1	interacts_with	0.725
APP	CD2AP	interacts_with	0.572
APP	CD33	interacts_with	0.643
APP	CDH13	interacts_with	0.417
APP	CLU	interacts_with	0.998
APP	CTSB	interacts_with	0.902
APP	EPHA1	interacts_with	0.521
APP	FERMT2	interacts_with	0.641
APP	GRN	interacts_with	0.601
APP	MS4A4E	interacts_with	0.43
APP	MS4A6A	interacts_with	0.481
APP	MS4A6E	interacts_with	0.418
APP	PICALM	interacts_with	0.82
APP	PTK2B	interacts_with	0.464
APP	SORL1	interacts_with	0.999
APP	TLR5	interacts_with	0.423
APP	TOMM40	interacts_with	0.901
APP	TREM2	interacts_with	0.901
APP	TSPAN14	interacts_with	0.521
B3GNT2	MUC19	interacts_with	0.405
BIN1	CASS4	interacts_with	0.705
BIN1	CAV1	interacts_with	0.505
BIN1	CD2AP	interacts_with	0.797
BIN1	CD33	interacts_with	0.685
BIN1	CLU	interacts_with	0.955
BIN1	CNTNAP2	interacts_with	0.766
BIN1	EPHA1	interacts_with	0.719
BIN1	FERMT2	interacts_with	0.627
BIN1	INPP5D	interacts_with	0.658
BIN1	MS4A4E	interacts_with	0.708
BIN1	MS4A6A	interacts_with	0.764
BIN1	MS4A6E	interacts_with	0.624
BIN1	PICALM	interacts_with	0.892
BIN1	PTK2B	interacts_with	0.581
BIN1	SLC24A4	interacts_with	0.621
BIN1	SORL1	interacts_with	0.798
BIN1	TOMM40	interacts_with	0.507
BIN1	TREM2	interacts_with	0.647
CAMK1D	TCF7L2	interacts_with	0.581
CASS4	CD2AP	interacts_with	0.74
CASS4	CD33	interacts_with	0.591
CASS4	CLU	interacts_with	0.595
CASS4	ECHDC3	interacts_with	0.496
CASS4	EPHA1	interacts_with	0.678
CASS4	FERMT2	interacts_with	0.771
CASS4	INPP5D	interacts_with	0.732
CASS4	MS4A4E	interacts_with	0.583
CASS4	MS4A6A	interacts_with	0.703
CASS4	MS4A6E	interacts_with	0.573
CASS4	PICALM	interacts_with	0.728
CASS4	PTK2B	interacts_with	0.76
CASS4	SLC24A4	interacts_with	0.73
CASS4	SORL1	interacts_with	0.742
CASS4	SPPL2A	interacts_with	0.404
CASS4	TREM2	interacts_with	0.539
CAV1	CD2AP	interacts_with	0.472
CAV1	FARP1	interacts_with	0.418
CAV1	IGFBP3	interacts_with	0.467
CAV1	NOX4	interacts_with	0.431
CAV1	PLCG2	interacts_with	0.537
CAV1	RHOH	interacts_with	0.561
CAV1	TLR5	interacts_with	0.47
CAV1	VEGFC	interacts_with	0.442
CCDC6	CEP170	interacts_with	0.418
CCDC6	EPHX2	interacts_with	0.468
CCDC6	PICALM	interacts_with	0.534
CCDC6	TMEM106B	interacts_with	0.426
CD2AP	CD33	interacts_with	0.712
CD2AP	CLU	interacts_with	0.8
CD2AP	EPHA1	interacts_with	0.767
CD2AP	FERMT2	interacts_with	0.664
CD2AP	INPP5D	interacts_with	0.89
CD2AP	MS4A4E	interacts_with	0.76
CD2AP	MS4A6A	interacts_with	0.772
CD2AP	MS4A6E	interacts_with	0.718
CD2AP	PICALM	interacts_with	0.865
CD2AP	PTK2B	interacts_with	0.583
CD2AP	SLC24A4	interacts_with	0.701
CD2AP	SORL1	interacts_with	0.747
CD2AP	TOMM40	interacts_with	0.448
CD2AP	TREM2	interacts_with	0.591
CD33	CLU	interacts_with	0.79
CD33	CR1	interacts_with	0.645
CD33	EPHA1	interacts_with	0.66
CD33	FERMT2	interacts_with	0.513
CD33	INPP5D	interacts_with	0.578
CD33	MS4A4E	interacts_with	0.818
CD33	MS4A6A	interacts_with	0.766
CD33	MS4A6E	interacts_with	0.607
CD33	NECTIN2	interacts_with	0.585
CD33	PICALM	interacts_with	0.756
CD33	PTK2B	interacts_with	0.437
CD33	SLC24A4	interacts_with	0.5
CD33	SORL1	interacts_with	0.809
CD33	TLR5	interacts_with	0.405
CD33	TREM2	interacts_with	0.954
CDH13	CNTNAP2	interacts_with	0.455
CEP170	SDCCAG8	interacts_with	0.463
CLU	CR1	interacts_with	0.567
CLU	EPHA1	interacts_with	0.685
CLU	FERMT2	interacts_with	0.59
CLU	GRN	interacts_with	0.563
CLU	IGFBP3	interacts_with	0.598
CLU	INPP5D	interacts_with	0.566
CLU	MMP3	interacts_with	0.695
CLU	MS4A4E	interacts_with	0.809
CLU	MS4A6A	interacts_with	0.714
CLU	MS4A6E	interacts_with	0.61
CLU	NECTIN2	interacts_with	0.53
CLU	PICALM	interacts_with	0.923
CLU	PTK2B	interacts_with	0.507
CLU	SLC24A4	interacts_with	0.571
CLU	SORL1	interacts_with	0.862
CLU	TOMM40	interacts_with	0.506
CLU	TREM2	interacts_with	0.985
CNTNAP2	NEGR1	interacts_with	0.537
CREM	EPHX2	interacts_with	0.446
CREM	NFATC2	interacts_with	0.539
CREM	PDE3A	interacts_with	0.432
CREM	PDE4B	interacts_with	0.407
CTSB	GRN	interacts_with	0.619
CTSB	MMP3	interacts_with	0.67
CTSB	TREM2	interacts_with	0.434
DENND1A	PICALM	interacts_with	0.462
DOCK3	RHOH	interacts_with	0.467
ECHDC3	FERMT2	interacts_with	0.402
ECHDC3	MS4A6A	interacts_with	0.421
ECHDC3	SLC24A4	interacts_with	0.418
ECHDC3	SORL1	interacts_with	0.405
ECHDC3	TSPOAP1	interacts_with	0.418
ECHDC3	USP6NL	interacts_with	0.569
EED	KMT2C	interacts_with	0.6
EED	NCOR2	interacts_with	0.46
EED	TBL1XR1	interacts_with	0.475
EPHA1	FERMT2	interacts_with	0.589
EPHA1	INPP5D	interacts_with	0.562
EPHA1	MS4A4E	interacts_with	0.672
EPHA1	MS4A6A	interacts_with	0.713
EPHA1	MS4A6E	interacts_with	0.669
EPHA1	NCK2	interacts_with	0.689
EPHA1	PICALM	interacts_with	0.846
EPHA1	SLC24A4	interacts_with	0.59
EPHA1	SORL1	interacts_with	0.689
EPHA1	TREM2	interacts_with	0.543
EPHX2	GMPR	interacts_with	0.859
FERMT2	INPP5D	interacts_with	0.625
FERMT2	MS4A4E	interacts_with	0.542
FERMT2	MS4A6A	interacts_with	0.63
FERMT2	MS4A6E	interacts_with	0.513
FERMT2	PICALM	interacts_with	0.802
FERMT2	PTK2B	interacts_with	0.637
FERMT2	SLC24A4	interacts_with	0.691
FERMT2	SORL1	interacts_with	0.667
FERMT2	TCF7L2	interacts_with	0.502
FERMT2	TREM2	interacts_with	0.478
GLIS3	TCF7L2	interacts_with	0.549
GMPR	PDE3A	interacts_with	0.907
GRN	NCOR2	interacts_with	0.422
GRN	SORL1	interacts_with	0.445
GRN	TMEM106B	interacts_with	0.906
GRN	TREM2	interacts_with	0.553
HCN4	KCNJ3	interacts_with	0.631
HCN4	TBX5	interacts_with	0.699
HCN4	ZFHX3	interacts_with	0.445
IDUA	SLC26A1	interacts_with	0.483
IGFBP3	MMP3	interacts_with	0.714
IGFBP3	VEGFC	interacts_with	0.442
IL34	INPP5D	interacts_with	0.587
IL34	PLCG2	interacts_with	0.578
IL34	TREM2	interacts_with	0.685
IL6R	MMP3	interacts_with	0.511
IL6R	PLCG2	interacts_with	0.91
IL6R	SORL1	interacts_with	0.464
INPP5D	MS4A4E	interacts_with	0.534
INPP5D	MS4A6A	interacts_with	0.641
INPP5D	MS4A6E	interacts_with	0.427
INPP5D	PICALM	interacts_with	0.663
INPP5D	PLCG2	interacts_with	0.82
INPP5D	PTK2B	interacts_with	0.596
INPP5D	SLC24A4	interacts_with	0.608
INPP5D	SORL1	interacts_with	0.681
INPP5D	TREM2	interacts_with	0.756
KCNJ3	TBX5	interacts_with	0.429
KMT2C	NCOR2	interacts_with	0.601
KMT2C	PRDM9	interacts_with	0.657
KMT2C	ZFHX3	interacts_with	0.587
LRRC37A	NBPF4	interacts_with	0.508
MMP3	VEGFC	interacts_with	0.496
MS4A4E	MS4A6A	interacts_with	0.987
MS4A4E	MS4A6E	interacts_with	0.978
MS4A4E	PICALM	interacts_with	0.774
MS4A4E	PTK2B	interacts_with	0.471
MS4A4E	SLC24A4	interacts_with	0.571
MS4A4E	SORL1	interacts_with	0.65
MS4A4E	TOMM40	interacts_with	0.432
MS4A4E	TREM2	interacts_with	0.513
MS4A6A	PICALM	interacts_with	0.79
MS4A6A	PILRA	interacts_with	0.564
MS4A6A	PTK2B	interacts_with	0.594
MS4A6A	SLC24A4	interacts_with	0.673
MS4A6A	SORL1	interacts_with	0.682
MS4A6A	TOMM40	interacts_with	0.444
MS4A6A	TREM2	interacts_with	0.699
MS4A6E	PICALM	interacts_with	0.696
MS4A6E	PTK2B	interacts_with	0.403
MS4A6E	SLC24A4	interacts_with	0.545
MS4A6E	SORL1	interacts_with	0.627
MS4A6E	TREM2	interacts_with	0.527
MTHFD1L	SLC24A4	interacts_with	0.421
NCK2	PTK2B	interacts_with	0.411
NCOR2	TBL1XR1	interacts_with	0.989
NECTIN2	PILRA	interacts_with	0.543
NECTIN2	SORL1	interacts_with	0.523
NECTIN2	TOMM40	interacts_with	0.895
PICALM	PTK2B	interacts_with	0.617
PICALM	SLC24A4	interacts_with	0.688
PICALM	SORL1	interacts_with	0.838
PICALM	TOMM40	interacts_with	0.604
PICALM	TREM2	interacts_with	0.696
PILRA	TREM2	interacts_with	0.469
PLCG2	PTK2B	interacts_with	0.61
PLCG2	TREM2	interacts_with	0.782
PTK2B	SLC24A4	interacts_with	0.585
PTK2B	SORL1	interacts_with	0.651
PTK2B	TREM2	interacts_with	0.461
PTK2B	TSPAN14	interacts_with	0.543
RBCK1	SHARPIN	interacts_with	0.999
SLC24A4	SORL1	interacts_with	0.683
SLC24A4	TREM2	interacts_with	0.463
SORL1	SPPL2A	interacts_with	0.414
SORL1	TOMM40	interacts_with	0.517
SORL1	TREM2	interacts_with	0.727
TBL1XR1	TCF7L2	interacts_with	0.46
TBX5	TEAD1	interacts_with	0.474
TCF7L2	TEAD1	interacts_with	0.857
TOMM40	TREM2	interacts_with	0.408
ULK4	ZNF652	interacts_with	0.447
